# Configuration.csv file for Capstone Project.
# Configuration Tse of the end-effector, 
# expressed as 13 variables separated by commas. The 13 variables are, in order
# r11, r12, r13, r21, r22, r23, r31, r32, r33, px, py, pz, gripper state
0.99998654,0.0,0.00518819,0.0,1.0,0.0,-0.00518819,0.0,0.99998654,0.16780333,0.0,0.50183738,0
0.99998588,0.0,0.0053143,0.0,1.0,0.0,-0.0053143,0.0,0.99998588,0.16784242,0.0,0.50188194,0
0.99998519,0.0,0.00544189,0.0,1.0,0.0,-0.00544189,0.0,0.99998519,0.16788198,0.0,0.50192701,0
0.99998448,0.0,0.00557097,0.0,1.0,0.0,-0.00557097,0.0,0.99998448,0.167922,0.0,0.50197261,0
0.99998375,0.0,0.00570152,0.0,1.0,0.0,-0.00570152,0.0,0.99998375,0.16796249,0.0,0.50201872,0
0.99998298,0.0,0.00583357,0.0,1.0,0.0,-0.00583357,0.0,0.99998298,0.16800345,0.0,0.50206536,0
0.9999822,0.0,0.00596709,0.0,1.0,0.0,-0.00596709,0.0,0.9999822,0.16804487,0.0,0.50211251,0
0.99998138,0.0,0.00610209,0.0,1.0,0.0,-0.00610209,0.0,0.99998138,0.16808675,0.0,0.50216017,0
0.99998054,0.0,0.00623857,0.0,1.0,0.0,-0.00623857,0.0,0.99998054,0.1681291,0.0,0.50220836,0
0.99997967,0.0,0.00637652,0.0,1.0,0.0,-0.00637652,0.0,0.99997967,0.16817192,0.0,0.50225705,0
0.99997877,0.0,0.00651596,0.0,1.0,0.0,-0.00651596,0.0,0.99997877,0.1682152,0.0,0.50230627,0
0.99997784,0.0,0.00665686,0.0,1.0,0.0,-0.00665686,0.0,0.99997784,0.16825894,0.0,0.502356,0
0.99997688,0.0,0.00679925,0.0,1.0,0.0,-0.00679925,0.0,0.99997688,0.16830315,0.0,0.50240624,0
0.9999759,0.0,0.0069431,0.0,1.0,0.0,-0.0069431,0.0,0.9999759,0.16834783,0.0,0.502457,0
0.99997488,0.0,0.00708843,0.0,1.0,0.0,-0.00708843,0.0,0.99997488,0.16839297,0.0,0.50250827,0
0.99997383,0.0,0.00723523,0.0,1.0,0.0,-0.00723523,0.0,0.99997383,0.16843857,0.0,0.50256005,0
0.99997274,0.0,0.00738349,0.0,1.0,0.0,-0.00738349,0.0,0.99997274,0.16848464,0.0,0.50261234,0
0.99997162,0.0,0.00753323,0.0,1.0,0.0,-0.00753323,0.0,0.99997162,0.16853117,0.0,0.50266514,0
0.99997047,0.0,0.00768444,0.0,1.0,0.0,-0.00768444,0.0,0.99997047,0.16857817,0.0,0.50271846,0
0.99996929,0.0,0.00783711,0.0,1.0,0.0,-0.00783711,0.0,0.99996929,0.16862563,0.0,0.50277229,0
0.99996807,0.0,0.00799125,0.0,1.0,0.0,-0.00799125,0.0,0.99996807,0.16867355,0.0,0.50282662,0
0.99996681,0.0,0.00814685,0.0,1.0,0.0,-0.00814685,0.0,0.99996681,0.16872194,0.0,0.50288146,0
0.99996552,0.0,0.00830391,0.0,1.0,0.0,-0.00830391,0.0,0.99996552,0.16877079,0.0,0.50293682,0
0.99996419,0.0,0.00846244,0.0,1.0,0.0,-0.00846244,0.0,0.99996419,0.16882011,0.0,0.50299267,0
0.99996283,0.0,0.00862243,0.0,1.0,0.0,-0.00862243,0.0,0.99996283,0.16886989,0.0,0.50304904,0
